MSOA,Highest_level_of_qualification_Level_1_Level_2_or_Apprenticeship,Highest_level_of_qualification_Level_3_qualifications,Highest_level_of_qualification_Level_4_qualifications_and_above
E02000001,783,484,4618
E02000002,1613,479,914
E02000003,2615,847,1829
E02000004,1788,539,891
E02000005,2224,653,1119
E02000007,2232,556,1129
E02000008,2940,796,1401
E02000009,2085,562,1240
E02000010,2127,596,1091
E02000011,1660,448,938
E02000012,2322,828,1881
E02000013,2086,515,1037
E02000014,2330,579,1151
E02000015,1962,466,1007
E02000016,1332,473,2017
E02000017,1733,596,1971
E02000018,2124,582,1174
E02000019,2037,515,1201
E02000020,1894,624,1643
E02000021,1947,517,1221
E02000022,1563,537,1461
E02000023,1458,403,1009
E02000024,2058,900,3800
E02000025,1781,680,2601
E02000026,1374,542,2003
E02000027,2318,758,2118
E02000028,1357,547,2063
E02000029,2026,684,2399
E02000030,1909,752,2880
E02000031,1393,633,2566
E02000032,1632,762,2353
E02000033,2019,762,2121
E02000034,1709,721,2716
E02000035,1299,610,3073
E02000036,2237,882,2888
E02000037,1949,788,2745
E02000038,2055,937,3407
E02000039,1240,530,2418
E02000040,1346,584,2062
E02000041,1741,700,2377
E02000042,1695,833,3898
E02000043,1080,543,3154
E02000044,1720,577,1837
E02000045,1972,917,3051
E02000046,1016,566,2969
E02000047,2286,790,2171
E02000048,1701,751,3554
E02000049,1752,642,1521
E02000050,1737,793,3286
E02000051,1330,704,3377
E02000052,1305,716,4320
E02000053,1618,751,2473
E02000054,1127,612,2543
E02000055,1716,976,3751
E02000056,1156,681,4086
E02000057,1106,644,2258
E02000058,1416,744,4143
E02000059,2023,798,2557
E02000060,1632,809,3104
E02000061,908,613,3735
E02000062,1188,484,1484
E02000063,1147,508,1958
E02000064,972,518,1995
E02000065,1710,576,1729
E02000066,2371,683,1749
E02000067,2464,705,1483
E02000068,1912,614,1276
E02000069,1782,521,1103
E02000070,2529,771,1240
E02000071,2324,730,1016
E02000072,3044,789,1663
E02000073,3540,979,1715
E02000074,2347,599,943
E02000075,2668,790,1330
E02000077,2486,700,1140
E02000078,2661,775,1284
E02000079,2338,751,1637
E02000080,2993,882,1484
E02000081,2349,704,1209
E02000082,3028,853,1458
E02000083,3081,868,1448
E02000084,3506,1011,2102
E02000085,2662,813,1079
E02000086,2539,760,1235
E02000087,2234,777,1857
E02000088,2558,851,1372
E02000089,2476,781,1464
E02000090,2447,1038,2015
E02000091,2779,1011,2217
E02000092,1863,487,965
E02000093,2106,802,2721
E02000094,1761,720,1912
E02000095,1842,755,2650
E02000096,1287,647,2754
E02000097,1788,751,1929
E02000098,1371,636,2320
E02000099,1476,679,2418
E02000100,1488,993,3046
E02000101,1696,706,2354
E02000102,1538,563,1225
E02000103,1707,654,1805
E02000104,1210,518,1937
E02000105,1580,691,2527
E02000106,1888,760,2018
E02000107,1678,867,3565
E02000108,1202,474,1669
E02000109,1735,693,2688
E02000110,1372,673,2795
E02000111,1745,656,2403
E02000112,1740,703,2229
E02000113,2088,791,1307
E02000114,1362,780,2936
E02000115,1122,688,3682
E02000116,1460,597,1726
E02000117,2524,885,1805
E02000118,1825,660,1832
E02000119,1535,549,1180
E02000120,1251,726,3870
E02000121,1532,577,2123
E02000122,1240,623,2858
E02000123,2829,1051,2823
E02000124,1474,815,4221
E02000125,1723,873,3639
E02000126,1569,607,1652
E02000127,2342,667,1356
E02000128,2013,642,1842
E02000130,1696,666,2670
E02000131,1839,741,3137
E02000132,1900,839,3221
E02000133,2092,888,3638
E02000134,2435,1045,3554
E02000135,2364,791,2015
E02000136,1531,483,1227
E02000137,1864,757,2755
E02000138,1781,738,3207
E02000139,1654,702,2436
E02000140,2265,584,921
E02000141,1763,657,1850
E02000142,1889,770,2578
E02000144,1963,836,3117
E02000145,2126,635,1089
E02000146,2094,794,2308
E02000147,1928,749,2743
E02000148,1677,599,1958
E02000149,2242,694,1261
E02000150,2305,818,2001
E02000151,2055,708,2179
E02000152,1800,549,1146
E02000153,2287,772,1836
E02000154,2183,763,2225
E02000155,2112,604,1221
E02000156,3422,1248,3196
E02000157,2271,782,2198
E02000158,2063,641,1510
E02000159,2002,652,1752
E02000160,2255,811,1966
E02000161,2288,857,2244
E02000162,1888,564,1458
E02000163,2118,772,2070
E02000165,2380,788,1252
E02000166,1127,596,3552
E02000167,748,485,4470
E02000168,1033,603,3932
E02000169,806,737,3627
E02000170,950,614,4320
E02000171,961,547,3800
E02000172,1672,965,3013
E02000173,574,480,4297
E02000174,1276,695,3807
E02000175,974,596,4809
E02000176,536,354,3792
E02000177,1412,721,3074
E02000178,1311,636,3744
E02000179,790,423,2726
E02000180,1073,1083,3247
E02000181,690,443,4494
E02000182,730,398,2917
E02000183,970,578,3848
E02000184,1442,1089,2828
E02000185,1295,535,2745
E02000186,887,673,3026
E02000187,1515,964,1604
E02000188,1323,1673,1815
E02000189,817,901,1846
E02000190,994,1590,2690
E02000191,647,2155,3077
E02000192,1093,671,2686
E02000193,922,1135,3667
E02000194,1764,716,3017
E02000195,2032,808,2675
E02000196,1621,654,1841
E02000197,1884,844,2261
E02000198,1877,655,1697
E02000199,2038,768,1899
E02000200,1992,734,2257
E02000201,2041,769,1813
E02000202,1993,789,1949
E02000203,1747,656,1678
E02000204,2211,785,2022
E02000206,2325,739,1982
E02000207,2363,838,1803
E02000208,2196,783,2007
E02000209,1998,665,1569
E02000210,2123,806,2011
E02000211,2411,808,1841
E02000212,1841,662,1628
E02000213,2175,741,2318
E02000214,1672,654,1666
E02000215,2037,903,3624
E02000216,986,459,3028
E02000217,2155,927,2501
E02000218,1844,574,1246
E02000219,2152,742,2134
E02000220,2156,888,3322
E02000221,2310,831,2107
E02000222,1715,755,2833
E02000223,2046,544,717
E02000224,1858,789,2305
E02000225,2089,551,780
E02000226,2189,745,2152
E02000227,3510,1220,2322
E02000228,1844,792,2652
E02000229,1666,454,522
E02000230,2239,1009,3343
E02000231,1738,739,2683
E02000232,1863,573,1331
E02000233,1568,563,1652
E02000234,2125,773,2167
E02000235,1877,655,1973
E02000236,2172,770,1926
E02000237,2163,728,1682
E02000238,1999,669,2012
E02000239,1669,785,2412
E02000240,2224,724,1795
E02000241,1486,534,1613
E02000242,1251,473,1578
E02000243,1668,644,1977
E02000244,1299,470,1904
E02000245,1776,553,1378
E02000246,2003,631,1305
E02000247,2084,757,2014
E02000248,1017,514,2613
E02000249,1536,581,1682
E02000250,870,453,3050
E02000251,1659,666,1659
E02000252,1647,729,2857
E02000253,1893,703,1930
E02000254,1851,724,1773
E02000255,1463,808,3411
E02000256,1078,737,4251
E02000257,1511,981,6630
E02000258,1095,563,2176
E02000259,1071,527,2072
E02000260,1621,649,1841
E02000261,1701,875,3333
E02000262,1320,695,3076
E02000263,2235,827,2026
E02000264,1072,680,3534
E02000265,1742,860,3912
E02000266,2625,955,2215
E02000267,1198,569,2324
E02000268,1329,679,3934
E02000269,1027,626,3802
E02000270,1378,637,1997
E02000271,737,532,3347
E02000272,1097,581,2644
E02000274,2348,943,2069
E02000275,1376,518,1566
E02000276,883,493,3028
E02000277,1839,612,1087
E02000278,2068,646,1128
E02000279,2502,769,2069
E02000280,2086,760,2037
E02000281,2256,740,1638
E02000282,2045,618,1084
E02000283,2163,595,1186
E02000284,1898,673,2416
E02000285,1904,639,1507
E02000286,1945,771,2704
E02000287,1520,698,2075
E02000288,2405,843,1692
E02000289,1529,645,1855
E02000290,1544,488,1023
E02000291,1953,830,2275
E02000292,2303,872,2042
E02000293,1417,596,2032
E02000294,1972,811,1343
E02000295,1769,682,2609
E02000296,1764,964,2888
E02000297,2316,838,2575
E02000298,1610,649,2889
E02000299,2078,688,1394
E02000300,1901,668,1392
E02000301,2196,728,1429
E02000302,1824,741,1967
E02000303,1852,551,1181
E02000304,1474,677,3073
