MSOA,Median_House_Price_201415
E02000001,816350
E02000002,240000
E02000003,250000
E02000004,252500
E02000005,240000
E02000007,226250
E02000008,220000
E02000009,218500
E02000010,225000
E02000011,238000
E02000012,325000
E02000013,232000
E02000014,225000
E02000015,200000
E02000016,175000
E02000017,234000
E02000018,230000
E02000019,225000
E02000020,208000
E02000021,215000
E02000022,185000
E02000023,249995
E02000024,490000
E02000025,340000
E02000026,480350
E02000027,409500
E02000028,375000
E02000029,325000
E02000030,755000
E02000031,628750
E02000032,550000
E02000033,377500
E02000034,340000
E02000035,425000
E02000036,396000
E02000037,565000
E02000038,441000
E02000039,515000
E02000040,617500
E02000041,407500
E02000042,383750
E02000043,716000
E02000044,323000
E02000045,357500
E02000046,475000
E02000047,287000
E02000048,450000
E02000049,300000
E02000050,389950
E02000051,530000
E02000052,538500
E02000053,329500
E02000054,321975
E02000055,470000
E02000056,1195000
E02000057,490000
E02000058,805500
E02000059,294975
E02000060,535250
E02000061,911125
E02000062,400000
E02000063,512500
E02000064,479950
E02000065,205500
E02000066,221000
E02000067,164995
E02000068,183000
E02000069,216000
E02000070,272500
E02000071,250000
E02000072,220000
E02000073,334000
E02000074,215000
E02000075,326250
E02000077,293500
E02000078,280000
E02000079,263500
E02000080,305000
E02000081,260000
E02000082,295000
E02000083,230500
E02000084,335000
E02000085,270000
E02000086,287573
E02000087,359250
E02000088,328000
E02000089,360000
E02000090,235000
E02000091,280000
E02000092,275500
E02000093,399950
E02000094,325000
E02000095,445000
E02000096,537500
E02000097,394500
E02000098,545000
E02000099,400000
E02000100,510000
E02000101,290000
E02000102,360000
E02000103,450000
E02000104,350000
E02000105,301500
E02000106,367500
E02000107,456000
E02000108,250000
E02000109,350000
E02000110,718000
E02000111,352500
E02000112,360000
E02000113,244475
E02000114,450000
E02000115,505000
E02000116,400000
E02000117,250000
E02000118,258000
E02000119,330000
E02000120,499999
E02000121,263750
E02000122,832500
E02000123,392500
E02000124,711501
E02000125,600000
E02000126,450000
E02000127,257000
E02000128,410000
E02000130,417500
E02000131,299950
E02000132,330000
E02000133,650000
E02000134,319000
E02000135,259000
E02000136,302000
E02000137,338125
E02000138,365000
E02000139,372500
E02000140,250000
E02000141,337500
E02000142,400000
E02000144,360500
E02000145,230000
E02000146,364000
E02000147,610000
E02000148,499975
E02000149,277500
E02000150,485000
E02000151,500000
E02000152,337500
E02000153,499950
E02000154,350000
E02000155,310000
E02000156,480000
E02000157,419998
E02000158,364000
E02000159,500000
E02000160,480000
E02000161,400000
E02000162,390000
E02000163,450000
E02000165,285000
E02000166,620000
E02000167,1027750
E02000168,645000
E02000169,1307500
E02000170,715000
E02000171,714500
E02000172,492500
E02000173,1190000
E02000174,510250
E02000175,670000
E02000176,950000
E02000177,542500
E02000178,500000
E02000179,945000
E02000180,547500
E02000181,710000
E02000182,860000
E02000183,931000
E02000184,540000
E02000185,430000
E02000186,841000
E02000187,505000
E02000188,463250
E02000189,590000
E02000190,490000
E02000191,625000
E02000192,650000
E02000193,601250
E02000194,325000
E02000195,399000
E02000196,420000
E02000197,354500
E02000198,250000
E02000199,268750
E02000200,241050
E02000201,230000
E02000202,287500
E02000203,250000
E02000204,261000
E02000206,226000
E02000207,250000
E02000208,220000
E02000209,250000
E02000210,300000
E02000211,350000
E02000212,250000
E02000213,220875
E02000214,375000
E02000215,265000
E02000216,298750
E02000217,262000
E02000218,414250
E02000219,425000
E02000220,235000
E02000221,276000
E02000222,289950
E02000223,242500
E02000224,281000
E02000225,262000
E02000226,405000
E02000227,260000
E02000228,425000
E02000229,250000
E02000230,325000
E02000231,555000
E02000232,385000
E02000233,320000
E02000234,319975
E02000235,390000
E02000236,372000
E02000237,386500
E02000238,348000
E02000239,405000
E02000240,293250
E02000241,340000
E02000242,407500
E02000243,290000
E02000244,383000
E02000245,210000
E02000246,320000
E02000247,250000
E02000248,435750
E02000249,367500
E02000250,690000
E02000251,340000
E02000252,312000
E02000253,373750
E02000254,283750
E02000255,450000
E02000256,477500
E02000257,527500
E02000258,600000
E02000259,432000
E02000260,294000
E02000261,485000
E02000262,471500
E02000263,294000
E02000264,560000
E02000265,440000
E02000266,250000
E02000267,485000
E02000268,540000
E02000269,680000
E02000270,440000
